acc,PR_macro,RE_macro,f1_macro,AUC_macro,AUPR_macro,loss
0.4994230662588673,0.6656993321070325,0.34183588938959947,0.3285204799539881,0.5314238344434418,0.34633790071257203,0.8116829210853244
0.5064945036663553,0.6706330667437023,0.3473159535227464,0.33843897883823065,0.5527961700080014,0.3541691570273871,0.805054603131501
0.5108764274044594,0.6734658142318155,0.3507506995542324,0.3437573433642182,0.5705229345129709,0.36008570147157126,0.8026533952126136
0.5134539668726992,0.6751721493444119,0.3524609185399769,0.3452130606549284,0.5794233107553048,0.36449498987573764,0.801170878372826
0.5160933587568091,0.6769690120462014,0.35426365576651353,0.34694507090951293,0.5851429697743283,0.36792383630275943,0.7998522263723653
0.5180417098567157,0.6782691180280475,0.35571163512710985,0.3487644875597953,0.5879546448349556,0.37121860903791376,0.7991750780102256
0.5191582526052664,0.6790289740436952,0.3564854393189449,0.34954776385780145,0.5912247200938242,0.3733907491250745,0.7983946682481499
0.5207920095210063,0.6801038951309497,0.35770350218922725,0.35104173749585116,0.5924565043240634,0.37440787989899915,0.7980335862278105
0.5228576669268734,0.6815300943449801,0.35922012553744426,0.35279420326086636,0.5965733627951925,0.3782332956931289,0.7968781409146902
0.5250502284273704,0.6830315135165815,0.3608199595577463,0.35457730921314523,0.5981636557165495,0.38104730878998105,0.7960121037659945
0.5266274650320566,0.6841062143812819,0.3619746082133985,0.35584610055664284,0.6007279100293151,0.3838309483433155,0.79509448661254
0.5297072887739998,0.6862022348225428,0.36419210519293843,0.35817920228593225,0.6058099674078182,0.3886754846669032,0.7931727546078342
0.5307971709984686,0.6869394810220291,0.36495208353766845,0.35894067524920414,0.6071943808295449,0.3897092188938404,0.7925156012073263
0.5326719390519091,0.6881936924741937,0.3662567163862403,0.3602427769357203,0.6087875184486825,0.3918619340466778,0.7917712643429949
0.5340582863041688,0.6891435367039948,0.3672617683442472,0.3612871954089689,0.6110062119081451,0.39405972094213987,0.7907273894423371
0.5342971645999428,0.689293387510448,0.3674090818311791,0.36141506343895724,0.6117918675101026,0.3950647274726755,0.7903294790458012
0.5346981388821349,0.6895793132170343,0.3677230499718009,0.3617604119371527,0.6123960030498186,0.3956608767453293,0.790002845696636
0.5356301908040387,0.6901991488992026,0.3683730062800621,0.3624070015331711,0.6137091708447255,0.39675459783992134,0.7894548849834429
0.5356749804844964,0.6902291149928154,0.36839011012672596,0.36241258939176463,0.6138964109009354,0.3971324445589022,0.7892949073673128
0.5359874418267364,0.690446069447393,0.3686323454728611,0.36267326280695483,0.6145361325866237,0.3975776999822238,0.7890464196671972
